ATTR_NAME,IMG_PATH
금각사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a6/48/56/caption.jpg?w=100&h=-1&s=1
후시미 이나리 신사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/74/70/f7/dreamseeker58.jpg?w=100&h=-1&s=1
Kiyomizu-dera,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/14/a3/93/sjcrystal.jpg?w=100&h=-1&s=1
은각사,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/65/2c/39/sae-young-c.jpg?w=100&h=-1&s=1
교토역 빌딩,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7c/01/ff/caption.jpg?w=800&h=700&s=1
교토 타워,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/5a/b8/avatar.jpg?w=100&h=-1&s=1
교토 니시키 시장,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/50/9f/d1/caption.jpg?w=100&h=-1&s=1
Gion,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/50/9f/d1/caption.jpg?w=100&h=-1&s=1
Arashiyama,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/65/2c/39/sae-young-c.jpg?w=100&h=-1&s=1
교토 식물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/77/a3/06/avatar.jpg?w=100&h=-1&s=1
교토 궁전,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e7/86/70/20190321-134803-largejpg.jpg?w=800&h=700&s=1
Nijo Kalesi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e5/b2/5f/photo0jpg.jpg?w=800&h=700&s=1
산넨자카 니넨자카,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/14/a3/93/sjcrystal.jpg?w=100&h=-1&s=1
에이칸도,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/74/70/f7/dreamseeker58.jpg?w=100&h=-1&s=1
산젠,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/65/2c/39/sae-young-c.jpg?w=100&h=-1&s=1
